Presentation,Event,Date,Views,URL
"From Zero to Hero with Kafka Connect","Kafka Summit London 2019","2019-05-13 13:00:00",18823,https://noti.st/rmoff/QZ5nsS
"From Zero to Hero with Kafka Connect",JFuture,"2020-10-23 12:10:00",7394,https://noti.st/rmoff/ScGJTe
"From Zero to Hero with Kafka Connect","Berlin Buzzwords 2019","2019-06-17 06:00:00",6747,https://noti.st/rmoff/yE9NeV
"From Zero to Hero with Kafka Connect","LJC Virtual Meetup","2020-05-06 07:00:00",4727,https://noti.st/rmoff/DQkDj3
"Integrating Oracle and Kafka","ACEs @ Home","2020-06-15 08:00:00",4722,https://noti.st/rmoff/ixPL5r
"Kafka as a Platform: the Ecosystem from the Ground Up",GOTOpia,"2020-09-16 08:00:00",4160,https://noti.st/rmoff/8OCgKp
"🤖Building a Telegram bot with Apache Kafka and ksqlDB",DataEngBytes,"2020-08-20 08:00:00",4092,https://noti.st/rmoff/JG780y
"From Zero to Hero with Kafka Connect","Munich Kafka Meetup","2019-07-03 06:00:00",3915,https://noti.st/rmoff/rd1qmq
"No More Silos: Integrating Databases and Apache Kafka","Kafka Summit New York 2019","2019-04-02 12:00:00",3703,https://noti.st/rmoff/eGacLb
"Introduction to ksqlDB","Software Circus / Amsterdam Kafka Meetup","2020-02-25 07:00:00",3125,https://noti.st/rmoff/LjZAS7
"From Zero to Hero with Kafka Connect","Crunch Data Conference","2019-10-17 06:00:00",2629,https://noti.st/rmoff/Jcugyt
"From Zero to Hero with Kafka Connect","Voxxed Microservices","2019-10-21 06:00:00",2518,https://noti.st/rmoff/0DQPfm
"Apache Kafka and KSQL in Action : Let’s Build a Streaming Data Pipeline!","Devoxx UK","2019-05-08 07:00:00",2423,https://noti.st/rmoff/pZC6Za
"The Changing Face of ETL: Event-Driven Architectures for Data Engineers","Strata Data Conference, London","2019-04-30 07:00:00",2024,https://noti.st/rmoff/nw3OuA
"No More Silos: Integrating Databases and Apache Kafka","Berlin Buzzwords","2021-06-14 08:00:00",1954,https://noti.st/rmoff/JOZJms
"Introduction to ksqlDB","LJC Virtual Meetup","2020-05-13 16:00:00",1828,https://noti.st/rmoff/WKykIL
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Devoxx UK","2021-11-01 08:00:00",1794,https://noti.st/rmoff/T6qpbP
